[2026-05-25T00:48:14.746Z] GET https://stephen-okulaja-portfolio.netlify.app/ → pending (?ms, ?B)
[2026-05-25T00:48:18.152Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,700;1,400;1,700&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;1,9..40,300&display=swap → 200 (98ms, 10798B)
[2026-05-25T00:48:18.152Z] GET https://stephen-okulaja-portfolio.netlify.app/style.css → 200 (137ms, 18724B)
[2026-05-25T00:48:18.153Z] GET https://stephen-okulaja-portfolio.netlify.app/assets/stephen.jpg → 200 (420ms, 21413B)
[2026-05-25T00:48:18.153Z] GET https://stephen-okulaja-portfolio.netlify.app/main.js → 200 (423ms, 8425B)
[2026-05-25T00:48:18.568Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHQ.woff2 → 200 (118ms, ?B)
[2026-05-25T00:48:18.572Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7.woff2 → 200 (83ms, 38804B)
[2026-05-25T00:48:18.572Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgA.woff2 → 200 (90ms, ?B)
[2026-05-25T00:48:18.572Z] GET https://stephen-okulaja-portfolio.netlify.app/assets/quickfit.svg → 200 (262ms, ?B)
[2026-05-25T00:48:18.572Z] GET https://stephen-okulaja-portfolio.netlify.app/assets/connect-toronto.svg → 200 (305ms, ?B)
[2026-05-25T00:48:18.572Z] GET https://stephen-okulaja-portfolio.netlify.app/assets/fanband.svg → pending (?ms, ?B)
[2026-05-25T00:48:18.573Z] GET https://stephen-okulaja-portfolio.netlify.app/assets/versecue.svg → 200 (220ms, ?B)
